18893,2566,881,3
69614,756,5232,4
65690,8690,6262,3
3129,4239,9143,4
2031,678,4407,1
42938,988,1131,4
59847,2821,984,2
45967,8842,6113,2
30724,298,1785,1
56286,3804,5661,3
88123,9186,3477,4
84168,8524,2919,2
8219,1777,461,1
44918,4324,12,3
93262,7994,7592,4
30558,5291,8160,3
93706,1207,2927,2
55287,8677,3096,1
32584,8054,3055,3
77516,4233,8009,4
35745,6498,7829,3
47284,4447,483,1
279,3991,3375,2
42369,9663,4586,4
76177,5860,6927,3
81879,1618,4640,4
329,2049,1050,3
57949,3576,1625,2
26876,4508,2447,4
23260,9098,3402,2
76124,8527,9758,2
12138,1341,524,4
188,8674,7267,4
87562,556,1723,2
7465,7173,7767,4
60985,3117,4617,4
54163,5361,6055,2
94720,7621,2496,3
23595,4555,1678,4
48311,2569,7242,1
38297,2873,9554,1
20548,975,4293,1
84338,8710,7798,3
51932,8932,7300,1
59319,8341,6998,3
12811,8810,2083,2
82789,3789,6586,2
89843,4081,5982,1
39828,3435,2470,1
29863,2850,7807,3
97635,7998,9360,4
24780,3307,480,2
40555,3978,7716,4
20634,4897,2514,4
29120,4654,6716,4
29977,4333,7756,1
83110,6322,4126,3
32686,2076,2805,4
4901,3989,4738,4
23820,1228,2992,2
1388,3417,6476,2
8005,3378,9957,3
78684,8257,5463,4
11073,6228,9155,3
274,1008,2187,1
37262,9938,3477,1
40623,661,9644,3
20545,613,3039,1
59389,9731,8739,2
32155,4528,9188,3
58712,770,8618,2
20353,6346,4904,3
79564,6952,5944,2
53949,941,8997,4
27380,3347,6553,4
80615,9139,4580,3
23750,6036,6937,1
48085,8460,2130,2
29000,5536,557,3
60261,1917,681,2
17468,5578,1555,1
80997,3721,5101,2
89470,8961,9498,4
19486,3409,468,3
47884,7073,2936,3
20627,3620,9019,3
51772,7590,1374,1
70824,5661,7704,4
15575,901,8507,2
51858,6810,8468,2
17535,2533,1461,4
45374,2480,2404,1
38161,4074,4736,2
61015,5868,7085,1
89364,3468,4927,4
14691,2754,5137,4
28633,280,6291,2
70861,7249,8843,3
60354,6021,5983,1
39444,1028,7144,3
90649,9543,7124,4
73370,820,4987,4
49233,4717,1440,1
75575,5821,749,3
84372,9110,7943,1
42276,8511,3516,2
54196,3663,6108,2
97394,280,9181,1
35224,3802,7616,4
66995,7722,2025,4
39813,9446,1987,4
9564,6865,5553,1
14205,3132,6213,3
83338,5728,9477,2
34477,1860,9944,4
68091,5825,4622,4
50539,4770,3046,3
95581,2153,8417,1
91904,1239,6253,2
1746,6796,8065,3
15755,5446,2206,3
84941,7203,4281,2
74861,6495,6366,4
58646,4296,1233,3
10116,107,240,4
16733,7501,2399,2
210,2979,429,1
59216,6709,4656,4
11165,281,5886,2
71479,3625,1472,2
13150,8810,1769,4
96944,7661,4445,1
92714,1046,5009,1
35026,8802,3568,2
71152,5716,526,1
90803,8110,9925,4
39284,1564,5374,2
7303,2544,4342,3
33466,6454,5552,4
57748,3720,4206,4
16595,8378,131,2
62711,667,32,3
6793,3778,158,2
21257,237,6976,4
8257,3302,2146,1
60003,3266,4399,1
51317,1694,8611,1
3017,1718,9863,3
38596,2971,1753,3
62163,2212,8097,1
61313,555,6268,1
77174,3827,8794,3
23400,1009,2366,2
78601,3134,6494,2
55959,5839,3904,2
22541,6455,3325,2
56025,2998,5335,4
